racecourse,distance,going,raceclass,age_cond,age_cond,wintime,count
1.0,12.0,3,3.0,4,4,151.851666667,6
1.0,12.0,3,4.0,2,2,153.04375,8
1.0,12.0,3,4.0,3,3,157.79,1
1.0,12.0,3,4.0,4,4,155.476666667,3
1.0,12.0,5,1.0,2,2,155.0175,4
1.0,12.0,5,1.0,3,3,153.418571429,7
1.0,12.0,5,1.0,4,4,150.35,2
1.0,12.0,5,2.0,2,2,154.543333333,6
1.0,12.0,5,2.0,3,3,153.613,10
1.0,12.0,5,2.0,4,4,153.285,4
1.0,12.0,5,3.0,2,2,153.435,2
1.0,12.0,5,3.0,3,3,154.91,3
1.0,12.0,5,3.0,4,4,155.52,2
1.0,12.0,5,4.0,2,2,155.77,2
1.0,12.0,5,4.0,3,3,157.18,1
1.0,12.0,5,4.0,4,4,155.21,2
1.0,12.0,5,5.0,3,3,157.96,1
1.0,12.0,6,1.0,2,2,155.41,1
1.0,12.0,6,1.0,3,3,155.660833333,12
1.0,12.0,6,1.0,4,4,158.125,2
1.0,12.0,6,2.0,3,3,157.755,4
1.0,12.0,6,2.0,4,4,161.13,1
1.0,12.0,6,3.0,2,2,153.98,1
1.0,12.0,6,3.0,4,4,157.45,3
1.0,12.0,6,4.0,2,2,158.17,2
1.0,12.0,6,4.0,4,4,160.045,2
1.0,12.0,8,1.0,2,2,155.77,2
1.0,12.0,8,1.0,3,3,158.658,5
1.0,12.0,8,1.0,4,4,158.4,1
1.0,12.0,8,2.0,2,2,156.93,1
1.0,12.0,8,2.0,3,3,160.653333333,3
1.0,14.0,2,3.0,3,3,181.63,1
1.0,14.0,3,1.0,2,2,185.99,1
1.0,14.0,3,3.0,3,3,182.67,2
1.0,14.0,5,1.0,2,2,181.735,2
1.0,14.0,6,1.0,2,2,189.47,2
1.0,16.0,2,1.0,2,2,206.4125,4
1.0,16.0,2,1.0,4,4,204.12,1
1.0,16.0,2,2.0,3,3,209.6,1
1.0,16.0,2,3.0,4,4,210.59,1
1.0,16.0,3,1.0,2,2,206.103333333,3
1.0,16.0,3,1.0,3,3,208.37,3
1.0,16.0,3,1.0,4,4,208.3725,4
1.0,16.0,3,2.0,3,3,210.076666667,3
1.0,16.0,3,2.0,4,4,211.7725,4
1.0,16.0,3,3.0,3,3,211.41,3
1.0,16.0,3,3.0,4,4,208.426,5
1.0,16.0,5,1.0,2,2,212.65,1
1.0,16.0,5,1.0,3,3,219.72,1
1.0,16.0,5,1.0,4,4,209.08,1
1.0,16.0,5,2.0,3,3,212.3075,4
1.0,16.0,5,2.0,4,4,213.36,4
1.0,16.0,5,3.0,3,3,212.465,6
1.0,16.0,5,3.0,4,4,213.29,1
1.0,16.0,6,1.0,2,2,214.05,1
1.0,16.0,6,1.0,3,3,214.52,2
1.0,16.0,6,2.0,3,3,215.4975,4
1.0,16.0,6,2.0,4,4,212.67,1
1.0,16.0,6,3.0,3,3,216.325,2
1.0,16.0,8,1.0,2,2,220.97,1
1.0,16.0,8,1.0,3,3,216.946666667,3
1.0,16.0,8,1.0,4,4,214.07,1
1.0,16.2,2,1.0,2,2,209.12,1
1.0,16.2,2,1.0,3,3,214.87,1
1.0,16.2,2,2.0,3,3,213.82,1
1.0,16.2,2,3.0,3,3,216.92,1
1.0,16.2,2,4.0,3,3,208.95,1
1.0,16.2,3,1.0,2,2,210.013333333,3
1.0,16.2,3,1.0,3,3,215.71,1
1.0,16.2,3,2.0,3,3,210.75,1
1.0,16.2,3,2.0,4,4,210.91,1
1.0,16.2,3,4.0,3,3,214.723333333,3
1.0,16.2,3,4.0,4,4,211.9,2
1.0,16.2,5,1.0,2,2,216.27,1
1.0,16.2,5,1.0,4,4,216.2,1
1.0,16.2,5,2.0,3,3,215.97,1
1.0,16.2,5,2.0,4,4,213.186666667,3
1.0,16.2,5,4.0,3,3,212.86,1
1.0,16.2,6,1.0,4,4,219.94,2
1.0,16.2,6,2.0,4,4,221.14,1
1.0,16.2,6,3.0,3,3,215.68,1
1.0,16.2,8,3.0,3,3,224.07,1
1.0,20.0,2,1.0,4,4,261.42,3
1.0,20.0,2,2.0,4,4,265.846666667,3
1.0,20.0,2,3.0,4,4,260.99,1
1.0,20.0,3,1.0,4,4,261.391428571,7
1.0,20.0,3,2.0,4,4,262.02,5
1.0,20.0,3,3.0,4,4,265.913333333,3
1.0,20.0,5,1.0,4,4,264.53,1
1.0,20.0,5,2.0,4,4,267.66,2
1.0,20.0,5,3.0,4,4,265.91,1
1.0,20.0,8,1.0,4,4,277.51,1
1.0,21.72,2,2.0,4,4,285.67,1
1.0,21.72,3,2.0,4,4,293.8925,4
1.0,21.72,5,2.0,4,4,288.67,1
1.0,21.72,8,2.0,4,4,302.73,1
2.0,5.0,2,2.0,3,3,58.15,1
2.0,5.0,2,3.0,3,3,57.92,2
2.0,5.0,2,4.0,2,2,58.275,2
2.0,5.0,2,5.0,1,1,58.905,2
2.0,5.0,2,5.0,3,3,58.01,2
2.0,5.0,2,6.0,1,1,59.22,1
2.0,5.0,2,6.0,2,2,58.78,2
2.0,5.0,2,6.0,3,3,58.7,1
2.0,5.0,3,1.0,1,1,58.2075,4
2.0,5.0,3,1.0,3,3,57.9616666667,6
2.0,5.0,3,2.0,3,3,57.87,1
2.0,5.0,3,3.0,2,2,58.67,1
2.0,5.0,3,3.0,3,3,58.305,4
2.0,5.0,3,3.0,4,4,57.4733333333,3
2.0,5.0,3,4.0,1,1,59.2333333333,3
2.0,5.0,3,4.0,2,2,59.1433333333,3
2.0,5.0,3,4.0,3,3,58.2785714286,7
2.0,5.0,3,4.0,4,4,59.23,1
2.0,5.0,3,5.0,1,1,60.382,5
2.0,5.0,3,5.0,2,2,59.375,2
2.0,5.0,3,5.0,3,3,58.99,2
2.0,5.0,3,6.0,2,2,59.675,2
2.0,5.0,3,6.0,3,3,59.01375,8
2.0,5.0,3,6.0,4,4,60.05,2
2.0,5.0,5,1.0,1,1,59.1166666667,3
2.0,5.0,5,1.0,3,3,59.225,2
2.0,5.0,5,2.0,3,3,58.59,1
2.0,5.0,5,3.0,3,3,58.812,5
2.0,5.0,5,4.0,2,2,59.8775,4
2.0,5.0,5,4.0,3,3,59.06,7
2.0,5.0,5,4.0,4,4,59.61,1
2.0,5.0,5,5.0,1,1,60.6966666667,3
2.0,5.0,5,5.0,2,2,59.0533333333,3
2.0,5.0,5,5.0,3,3,59.865,8
2.0,5.0,5,5.0,4,4,58.59,1
