racecourse,age_cond,going,raceclass,distance,distance,wintime,count
1.0,4,2,1.0,20.0,20.0,261.42,3
1.0,4,2,2.0,10.0,10.0,124.96,1
1.0,4,2,2.0,20.0,20.0,265.846666667,3
1.0,4,2,2.0,21.72,21.72,285.67,1
1.0,4,2,3.0,6.0,6.0,73.29,1
1.0,4,2,3.0,16.0,16.0,210.59,1
1.0,4,2,3.0,20.0,20.0,260.99,1
1.0,4,2,4.0,8.0,8.0,101.685,2
1.0,4,3,1.0,8.0,8.0,99.5289473684,19
1.0,4,3,1.0,10.0,10.0,124.982857143,14
1.0,4,3,1.0,12.0,12.0,150.342727273,11
1.0,4,3,1.0,16.0,16.0,208.3725,4
1.0,4,3,1.0,20.0,20.0,261.391428571,7
1.0,4,3,2.0,6.0,6.0,73.08,1
1.0,4,3,2.0,7.0,7.0,87.1175,8
1.0,4,3,2.0,8.0,8.0,100.756,5
1.0,4,3,2.0,12.0,12.0,153.38,2
1.0,4,3,2.0,16.0,16.0,211.7725,4
1.0,4,3,2.0,16.2,16.2,210.91,1
1.0,4,3,2.0,20.0,20.0,262.02,5
1.0,4,3,2.0,21.72,21.72,293.8925,4
1.0,4,3,3.0,6.0,6.0,73.765,6
1.0,4,3,3.0,10.0,10.0,127.52,1
1.0,4,3,3.0,12.0,12.0,151.851666667,6
1.0,4,3,3.0,16.0,16.0,208.426,5
1.0,4,3,3.0,20.0,20.0,265.913333333,3
1.0,4,3,4.0,6.0,6.0,74.655,2
1.0,4,3,4.0,7.0,7.0,86.08,1
1.0,4,3,4.0,8.0,8.0,100.546,5
1.0,4,3,4.0,12.0,12.0,155.476666667,3
1.0,4,3,4.0,16.2,16.2,211.9,2
1.0,4,5,1.0,8.0,8.0,100.062,5
1.0,4,5,1.0,10.0,10.0,129.16,2
1.0,4,5,1.0,12.0,12.0,150.35,2
1.0,4,5,1.0,16.0,16.0,209.08,1
1.0,4,5,1.0,16.2,16.2,216.2,1
1.0,4,5,1.0,20.0,20.0,264.53,1
1.0,4,5,2.0,7.0,7.0,89.62,1
1.0,4,5,2.0,8.0,8.0,101.99,7
1.0,4,5,2.0,10.0,10.0,127.56,1
1.0,4,5,2.0,12.0,12.0,153.285,4
1.0,4,5,2.0,16.0,16.0,213.36,4
1.0,4,5,2.0,16.2,16.2,213.186666667,3
1.0,4,5,2.0,20.0,20.0,267.66,2
1.0,4,5,2.0,21.72,21.72,288.67,1
1.0,4,5,3.0,6.0,6.0,74.96,1
1.0,4,5,3.0,12.0,12.0,155.52,2
1.0,4,5,3.0,16.0,16.0,213.29,1
1.0,4,5,3.0,20.0,20.0,265.91,1
1.0,4,5,4.0,8.0,8.0,102.53,2
1.0,4,5,4.0,12.0,12.0,155.21,2
1.0,4,6,1.0,8.0,8.0,102.16,1
1.0,4,6,1.0,10.0,10.0,128.0,1
1.0,4,6,1.0,12.0,12.0,158.125,2
1.0,4,6,1.0,16.2,16.2,219.94,2
1.0,4,6,2.0,7.0,7.0,90.3975,4
1.0,4,6,2.0,8.0,8.0,103.185,2
1.0,4,6,2.0,12.0,12.0,161.13,1
1.0,4,6,2.0,16.0,16.0,212.67,1
1.0,4,6,2.0,16.2,16.2,221.14,1
1.0,4,6,3.0,8.0,8.0,106.53,2
1.0,4,6,3.0,12.0,12.0,157.45,3
1.0,4,6,4.0,6.0,6.0,77.2033333333,3
1.0,4,6,4.0,12.0,12.0,160.045,2
1.0,4,8,1.0,8.0,8.0,106.465,2
1.0,4,8,1.0,10.0,10.0,130.48,1
1.0,4,8,1.0,12.0,12.0,158.4,1
1.0,4,8,1.0,16.0,16.0,214.07,1
1.0,4,8,1.0,20.0,20.0,277.51,1
1.0,4,8,2.0,21.72,21.72,302.73,1
1.0,4,8,3.0,6.0,6.0,79.265,2
1.0,4,8,4.0,8.0,8.0,107.44,1
2.0,1,2,4.0,6.0,6.0,72.4871428571,7
2.0,1,2,4.0,7.0,7.0,87.19,2
2.0,1,2,4.0,7.23,7.23,90.1,1
2.0,1,2,5.0,5.0,5.0,58.905,2
2.0,1,2,5.0,6.0,6.0,71.6166666667,3
2.0,1,2,5.0,7.0,7.0,86.54,1
2.0,1,2,5.0,7.23,7.23,91.185,2
2.0,1,2,6.0,5.0,5.0,59.22,1
2.0,1,2,6.0,6.0,6.0,73.39,1
2.0,1,3,1.0,5.0,5.0,58.2075,4
2.0,1,3,1.0,6.0,6.0,71.615,4
2.0,1,3,2.0,6.0,6.0,70.44,1
2.0,1,3,2.0,8.0,8.0,102.325,2
2.0,1,3,3.0,6.0,6.0,72.15,5
2.0,1,3,3.0,7.23,7.23,91.275,2
2.0,1,3,3.0,8.0,8.0,100.695,2
2.0,1,3,4.0,5.0,5.0,59.2333333333,3
2.0,1,3,4.0,6.0,6.0,72.5933333333,9
2.0,1,3,4.0,7.0,7.0,88.18,1
2.0,1,3,4.0,7.23,7.23,91.995,10
2.0,1,3,4.0,8.0,8.0,100.193333333,3
2.0,1,3,5.0,5.0,5.0,60.382,5
2.0,1,3,5.0,6.0,6.0,72.7038888889,18
2.0,1,3,5.0,7.23,7.23,91.716,5
2.0,1,3,5.0,8.0,8.0,102.835,2
2.0,1,3,6.0,6.0,6.0,72.98,1
2.0,1,3,6.0,7.23,7.23,91.04,1
2.0,1,5,1.0,5.0,5.0,59.1166666667,3
2.0,1,5,1.0,6.0,6.0,72.2066666667,3
2.0,1,5,2.0,6.0,6.0,72.2,1
2.0,1,5,2.0,8.0,8.0,101.015,2
2.0,1,5,3.0,6.0,6.0,72.865,2
2.0,1,5,3.0,7.23,7.23,92.48,1
2.0,1,5,3.0,8.0,8.0,101.82,1
2.0,1,5,4.0,6.0,6.0,73.57,12
2.0,1,5,4.0,7.23,7.23,93.232,10
2.0,1,5,4.0,8.0,8.0,103.76,5
2.0,1,5,5.0,5.0,5.0,60.6966666667,3
2.0,1,5,5.0,6.0,6.0,73.9430434783,23
2.0,1,5,5.0,7.0,7.0,88.28,1
2.0,1,5,5.0,7.23,7.23,93.3409090909,11
2.0,1,5,5.0,8.0,8.0,105.11,1
2.0,1,5,6.0,5.0,5.0,60.09,1
2.0,1,5,6.0,6.0,6.0,73.68,2
2.0,1,5,6.0,7.23,7.23,93.4666666667,3
2.0,1,6,1.0,5.0,5.0,60.76,3
2.0,1,6,1.0,6.0,6.0,74.1666666667,3
2.0,1,6,2.0,6.0,6.0,75.79,1
