distance,raceclass,age_cond,going,racecourse,racecourse,wintime,count
5.0,2.0,3,8,62.0,62.0,60.365,2
5.0,2.0,3,9,9.0,9.0,60.9966666667,3
5.0,2.0,3,9,14.0,14.0,63.275,2
5.0,2.0,3,9,22.0,22.0,64.79,1
5.0,2.0,3,9,35.0,35.0,64.79,1
5.0,2.0,4,1,30.0,30.0,57.68,3
5.0,2.0,4,2,22.0,22.0,58.87,1
5.0,2.0,4,3,15.0,15.0,57.1,1
5.0,2.0,4,3,20.0,20.0,58.56,1
5.0,2.0,4,3,35.0,35.0,61.23,1
5.0,2.0,4,3,51.0,51.0,57.7066666667,3
5.0,2.0,4,3,62.0,62.0,58.18,3
5.0,2.0,4,4,28.0,28.0,58.95,1
5.0,2.0,4,4,30.0,30.0,58.1830769231,13
5.0,2.0,4,4,47.0,47.0,58.98,7
5.0,2.0,4,5,15.0,15.0,59.6,1
5.0,2.0,4,5,20.0,20.0,57.865,2
5.0,2.0,4,5,51.0,51.0,59.26,1
5.0,2.0,4,5,62.0,62.0,58.635,4
5.0,2.0,4,6,14.0,14.0,61.9,1
5.0,2.0,4,6,15.0,15.0,60.67,1
5.0,2.0,4,6,51.0,51.0,59.4033333333,3
5.0,2.0,4,6,62.0,62.0,59.35,1
5.0,2.0,4,7,47.0,47.0,60.2425,4
5.0,2.0,4,8,51.0,51.0,62.72,1
5.0,2.0,4,9,51.0,51.0,60.79,1
5.0,3.0,1,2,14.0,14.0,59.965,2
5.0,3.0,1,2,15.0,15.0,59.16,1
5.0,3.0,1,2,36.0,36.0,58.76,1
5.0,3.0,1,2,41.0,41.0,63.68,1
5.0,3.0,1,2,42.0,42.0,57.78,1
5.0,3.0,1,2,44.0,44.0,60.14,2
5.0,3.0,1,2,51.0,51.0,58.1933333333,3
5.0,3.0,1,2,62.0,62.0,58.462,5
5.0,3.0,1,3,1.0,1.0,61.8077777778,9
5.0,3.0,1,3,5.0,5.0,63.5442857143,7
5.0,3.0,1,3,14.0,14.0,61.3,1
5.0,3.0,1,3,15.0,15.0,59.08625,8
5.0,3.0,1,3,22.0,22.0,58.56,1
5.0,3.0,1,3,36.0,36.0,60.1416666667,6
5.0,3.0,1,3,43.0,43.0,59.07,4
5.0,3.0,1,3,44.0,44.0,61.404,5
5.0,3.0,1,3,51.0,51.0,58.3316666667,6
5.0,3.0,1,3,60.0,60.0,60.47,1
5.0,3.0,1,3,62.0,62.0,59.4711764706,17
5.0,3.0,1,4,30.0,30.0,59.92,3
5.0,3.0,1,4,47.0,47.0,59.35,1
5.0,3.0,1,5,1.0,1.0,62.33,1
5.0,3.0,1,5,5.0,5.0,62.13,1
5.0,3.0,1,5,9.0,9.0,60.7,3
5.0,3.0,1,5,14.0,14.0,62.22,2
5.0,3.0,1,5,15.0,15.0,60.7681818182,11
5.0,3.0,1,5,20.0,20.0,60.43,1
5.0,3.0,1,5,22.0,22.0,61.18,1
5.0,3.0,1,5,36.0,36.0,61.0814285714,7
5.0,3.0,1,5,43.0,43.0,60.304,5
