,Group.1,Group.2,Group.3,x.0%,x.5%
3689,20,7,E,300.7,302.921
4115,20,7,F,297.8,299.064
3238,20.5,7,D,318.35,318.35
3690,20.5,7,E,315.28,316.549
4116,20.5,7,F,310.13,310.477
273,21,7,2,348.65,348.65
662,21,7,3,337.5,339.764
1201,21,7,4,341.1,341.484
1747,21,7,5,342.58,342.58
274,24.5,7,2,391.6,391.7
663,24.5,7,3,376.1,376.312
1202,24.5,7,4,367.08,370.307
1748,24.5,7,5,389.75,390.0695
3239,24.5,7,D,350.04,351.5995
3691,24.5,7,E,362.39,365.405
4117,24.5,7,F,388.34,388.34
275,25,7,2,389.5,389.5
664,25,7,3,374.18,374.18
1203,25,7,4,374.43,375.004
1749,25,7,5,373.07,375.947
4118,25,7,F,422.6,422.6
665,26,7,3,402.32,405.66
1204,26,7,4,412.21,415.2655
666,28,7,3,448.05,448.05
1750,28,7,5,483.82,483.82
667,17.5,8,3,242.1,245.22
1205,17.5,8,4,239.5,245.02
1751,17.5,8,5,236.2,244.2545
3240,17.5,8,D,248.8,248.944
3692,17.5,8,E,245.49,248.5
4119,17.5,8,F,245.54,245.788
4404,17.5,8,G,248.6,248.675
3693,21,8,E,331.5,331.5
668,21.5,8,3,312.53,315.3545
1206,21.5,8,4,312.4,314.68
1752,21.5,8,5,319.43,319.864
669,22,8,3,316.9,317.915
1207,22,8,4,314.9,315.335
1753,22,8,5,313.53,315.2
3241,22,8,D,321.13,322.549
3694,22,8,E,322.71,324.0035
4120,22,8,F,330.7,330.792
4405,22,8,G,324.8,325.48
670,26,8,3,378.6,382.425
1208,26,8,4,364.5,365.6115
1754,26,8,5,380.2,380.84
3242,26,8,D,369.8,370.823
3695,26,8,E,375.8,376.202
276,5,9,2,59.2,59.374
671,5,9,3,59.86,59.911
1209,5,9,4,58.31,58.4225
1755,5,9,5,57.98,58.034
2244,5,9,6,58.21,58.9515
3243,5,9,D,57.91,57.946
3696,5,9,E,57.86,58.006
4121,5,9,F,57.88,58.1745
1210,5.96,9,4,70.73,70.995
1756,5.96,9,5,71.14,71.59
2245,5.96,9,6,71.75,71.932
3244,5.96,9,D,71.57,71.742
3697,5.96,9,E,70.58,70.721
4122,5.96,9,F,69.86,70.147
4406,5.96,9,G,70.72,71.0175
277,7,9,2,85.74,85.849
672,7,9,3,84.09,84.306
1211,7,9,4,83.91,84.7295
1757,7,9,5,84.08,85.0275
2246,7,9,6,84.24,84.966
3245,7,9,D,82.56,83.862
3698,7,9,E,83.88,84.3145
4123,7,9,F,83.52,84.33
4407,7,9,G,84.9,84.9175
278,11.97,9,2,159.5,159.5
673,11.97,9,3,153.25,153.5695
1212,11.97,9,4,157.88,158.5595
1758,11.97,9,5,153.81,154.936
2247,11.97,9,6,153.66,154.697
3246,11.97,9,D,150.5,152.098
3699,11.97,9,E,153.68,153.748
4124,11.97,9,F,151.63,153.986
674,13.8,9,3,197.64,197.6505
1213,13.8,9,4,175.81,178.345
1759,13.8,9,5,179.67,182.4365
2248,13.8,9,6,179.02,181.78
3247,13.8,9,D,179.36,179.56
3700,13.8,9,E,175.04,176.93
4125,13.8,9,F,182.32,182.7975
4408,13.8,9,G,177.09,177.09
1214,15.8,9,4,204.59,204.832
1760,15.8,9,5,204.03,206.436
2249,15.8,9,6,206.67,208.005
3248,15.8,9,D,203.34,203.4675
3701,15.8,9,E,207.29,207.5405
4126,15.8,9,F,205.22,205.344
675,16,9,3,235.44,235.624
1215,16,9,4,224.06,229.147
1761,16,9,5,224.13,227.32
2895,16,9,C,229.57,230.301
3249,16,9,D,228.13,228.495
3702,16,9,E,223.73,225.377
4127,16,9,F,227.57,230.468
4409,16,9,G,224.3,227.711
676,19,9,3,279.78,282.126
1216,19,9,4,273.93,278.043
1762,19,9,5,275.31,282.3
2896,19,9,C,288.71,288.71
3703,19,9,E,272.59,273.9
4128,19,9,F,274.35,274.395
4410,19,9,G,283.53,283.6065
677,25.5,9,3,382.52,383.798
1217,25.5,9,4,373.21,386.068
3250,25.5,9,D,368.59,368.8255
3704,25.5,9,E,381.36,383.5755
4129,25.5,9,F,390.42,391.4005
26,16,10,1,232,235.829
279,16,10,2,227.7,230.0465
678,16,10,3,233.84,234.3045
2532,16,10,A,235.61,236.09
2897,16,10,C,230.22,232.6
27,16.5,10,1,224.6,228.15
280,16.5,10,2,230,230.891
679,16.5,10,3,231.4,231.4775
2533,16.5,10,A,228.12,231.402
2699,16.5,10,B,234.28,234.74
2898,16.5,10,C,244.87,244.87
3251,16.5,10,D,233.56,234.209
3705,16.5,10,E,233.81,235.0575
28,17,10,1,235.9,237.2365
281,17,10,2,238.7,241.794
680,17,10,3,240.8,241.145
2534,17,10,A,240.49,240.7675
2700,17,10,B,238.48,239.316
2899,17,10,C,242.89,243.007
3252,17,10,D,247.71,248.4375
29,20,10,1,284.4,284.658
282,20,10,2,281.9,282.34
681,20,10,3,285.9,287.5735
30,20.5,10,1,291.31,297.205
283,20.5,10,2,285.09,289.78
682,20.5,10,3,297.5,298.892
1218,20.5,10,4,318.4,318.4
2535,20.5,10,A,310.28,310.28
2701,20.5,10,B,306.48,306.48
31,21,10,1,294.9,297.82
284,21,10,2,300.41,301.9315
683,21,10,3,301.3,306.26
2536,21,10,A,291.85,293.512
2702,21,10,B,299.86,304.046
2900,21,10,C,307.01,308.538
3253,21,10,D,315.77,315.787
3706,21,10,E,312.41,312.6775
32,21.5,10,1,307.81,309.695
285,21.5,10,2,308.69,309.242
2537,21.5,10,A,308.6,310.917
2703,21.5,10,B,311.28,313.6155
33,24,10,1,338.16,339.194
286,24,10,2,345.52,349.6775
684,24,10,3,350.36,352.136
2538,24,10,A,341.31,343.725
2704,24,10,B,346.01,347.885
3254,24,10,D,344.29,344.8915
287,24.5,10,2,361.6,364.465
685,24.5,10,3,361.2,365.3
2539,24.5,10,A,336.54,338.6485
2705,24.5,10,B,374.18,374.571
3255,24.5,10,D,368.3,368.3
34,25.5,10,1,383.27,384.1925
288,25.5,10,2,387.9,388.135
686,25.5,10,3,372.1,372.896
2540,25.5,10,A,382.44,382.792
2706,25.5,10,B,385.25,385.811
2901,25.5,10,C,367.53,368.413
3256,25.5,10,D,384.77,386.283
2707,26,10,B,396.59,396.59
3257,26,10,D,399.71,399.71
35,27.5,10,1,417.8,421.3455
687,5.07,11,3,58.44,58.468
1763,5.07,11,5,57.84,57.95
2250,5.07,11,6,57.84,58.23
2902,5.07,11,C,57.96,58.074
3707,5.07,11,E,58.27,58.477
4556,5.07,11,H,63.76,63.76
289,6.07,11,2,69.05,69.15
1219,6.07,11,4,72.34,72.34
1764,6.07,11,5,69.66,69.815
2251,6.07,11,6,70.04,70.493
2903,6.07,11,C,69.6,69.6345
3258,6.07,11,D,70.8,71.129
3708,6.07,11,E,70.23,70.316
688,7.07,11,3,80.5,80.552
1220,7.07,11,4,81.46,81.465
1765,7.07,11,5,80.19,81.466
2252,7.07,11,6,81.93,82.162
2904,7.07,11,C,80.01,80.22
3259,7.07,11,D,81.95,82.307
3709,7.07,11,E,79.24,80.9105
4130,7.07,11,F,81.86,81.895
4557,7.07,11,H,90.03,90.03
290,8.06,11,2,92.67,92.794
689,8.06,11,3,96.56,96.56
1221,8.06,11,4,94.28,94.305
1766,8.06,11,5,92.23,93.588
2253,8.06,11,6,93.08,93.5
3260,8.06,11,D,93.81,95.394
3710,8.06,11,E,93.58,93.976
