"","Group.1","Group.2","Group.3","x.0%","x.5%"
"1359",20.50, 25,"4",277.7600,281.8585
"1360",21.50, 25,"4",295.0000,298.9900
"1361",24.00, 25,"4",358.7500,358.9875
"1362",26.00, 25,"4",352.4200,359.8000
"1363",16.50, 26,"4",218.4000,230.2030
"1364",17.00, 26,"4",246.8600,247.7520
"1365",18.00, 26,"4",254.8000,258.2380
"1366",20.50, 26,"4",299.2000,300.2900
"1367",22.50, 26,"4",285.6000,320.2700
"1368",23.50, 26,"4",351.6000,355.8400
"1369",25.00, 26,"4",372.7200,378.4720
"1370",28.00, 26,"4",441.4300,441.9385
"1371", 5.00, 27,"4", 58.5000, 58.8450
"1372", 6.00, 27,"4", 70.8700, 71.3640
"1373", 7.00, 27,"4", 83.2900, 84.0960
"1374", 8.00, 27,"4", 95.7300, 97.2880
"1375",10.00, 27,"4",124.4400,124.7100
"1376",11.00, 27,"4",136.9800,138.1240
"1377",12.00, 27,"4",150.1500,151.1960
"1378",16.00, 27,"4",204.7000,207.1780
"1379",18.00, 27,"4",240.5000,240.5480
"1380",20.50, 27,"4",314.8700,314.9210
"1381",21.00, 27,"4",297.3000,306.3900
"1382",24.00, 27,"4",360.8300,361.6280
"1383",24.50, 27,"4",366.4000,366.7300
"1384", 5.00, 28,"4", 59.3400, 59.3955
"1385", 6.00, 28,"4", 71.9000, 72.1125
"1386", 8.00, 28,"4", 99.3600, 99.4650
"1387",10.00, 28,"4",126.1300,126.2300
"1388",14.00, 28,"4",182.0500,182.0640
"1389", 5.01, 29,"4", 57.8600, 57.9770
"1390", 5.99, 29,"4", 69.1200, 69.4390
"1391", 7.04, 29,"4", 83.0300, 83.3000
"1392", 8.04, 29,"4",103.3700,103.3700
"1393", 8.27, 29,"4",101.8900,102.1735
"1394", 9.99, 29,"4",123.0200,124.3445
"1395",11.83, 29,"4",149.8900,150.0070
"1396",16.00, 29,"4",225.0000,228.1800
"1397",20.50, 29,"4",298.0000,304.8900
"1398",23.50, 29,"4",344.1000,344.4800
"1399", 5.00, 30,"4", 56.2100, 56.9270
"1400", 5.03, 30,"4", 58.0500, 58.0630
"1401", 6.00, 30,"4", 68.6400, 70.0850
"1402", 7.00, 30,"4", 81.0600, 82.6080
"1403", 7.64, 30,"4", 92.0600, 92.0840
"1404", 8.00, 30,"4", 95.4000, 96.0680
"1405",10.00, 30,"4",122.1900,123.5350
"1406",11.48, 30,"4",155.4600,155.4600
"1407",12.00, 30,"4",148.1000,149.2845
"1408",13.00, 30,"4",163.6600,164.3600
"1409",16.00, 30,"4",200.0700,203.2210
"1410",16.50, 30,"4",228.5000,235.1000
"1411",19.50, 30,"4",291.5200,292.6640
"1412",20.00, 30,"4",330.1000,330.2100
"1413",20.50, 30,"4",326.2500,326.3215
"1414",23.00, 30,"4",331.9000,336.6985
"1415",24.00, 30,"4",361.0900,361.2605
"1416",16.50, 31,"4",241.8800,242.3960
"1417",17.00, 31,"4",244.2000,245.0750
"1418",20.00, 31,"4",292.8800,293.6450
"1419",24.50, 31,"4",362.9000,365.8600
"1420",16.00, 32,"4",215.8000,221.2780
"1421",20.00, 32,"4",290.5700,291.8940
"1422",21.00, 32,"4",291.3000,299.3120
"1423",24.00, 32,"4",337.6400,347.9425
"1424",17.00, 33,"4",239.2000,244.6000
"1425",17.50, 33,"4",240.4800,245.8400
"1426",18.00, 33,"4",254.4000,254.6740
"1427",19.00, 33,"4",256.2000,274.5000
"1428",19.50, 33,"4",275.9000,279.4400
"1429",20.00, 33,"4",287.8000,290.3200
"1430",21.00, 33,"4",302.1000,307.9400
"1431",22.00, 33,"4",311.7200,313.7520
"1432",22.50, 33,"4",320.9000,331.7850
"1433",24.00, 33,"4",348.6000,348.8520
"1434",25.00, 33,"4",360.5000,365.2700
"1435",28.50, 33,"4",483.6900,483.8450
"1436",29.00, 33,"4",456.6400,457.9050
"1437", 5.15, 34,"4", 60.1600, 60.3100
"1438", 6.04, 34,"4", 72.7800, 72.8875
"1439", 7.00, 34,"4", 84.1900, 84.1900
"1440", 8.00, 34,"4", 96.2500, 96.7960
"1441", 8.03, 34,"4", 96.4600, 96.5920
