,racecourse,racetype,distance,std_time
473,30.0,1,10.0,123.664
474,30.0,1,11.48,148.2625
475,30.0,1,12.0,149.6565
476,30.0,1,13.0,162.461
477,30.0,1,15.77,199.4075
478,30.0,1,16.0,202.187
479,30.0,2,16.0,248.63
480,30.0,2,16.5,235.15
481,30.0,2,19.5,283.484
482,30.0,2,23.0,335.937
483,30.0,3,16.0,230.82
484,30.0,3,20.0,327.56
485,30.0,3,20.5,306.42
486,30.0,3,24.0,361.3225
487,30.0,4,13.0,166.63
488,30.0,4,16.0,204.9045
489,31.0,2,16.5,236.9505
490,31.0,2,17.0,245.795
491,31.0,2,20.0,288.4885
492,31.0,2,24.5,361.31
493,31.0,3,16.0,232.532
494,31.0,3,20.0,293.31
495,31.0,3,21.5,325.01
496,31.0,3,25.0,379.2175
497,31.0,3,26.0,409.786
498,31.0,3,36.0,542.583
499,31.0,4,17.0,239.504
500,32.0,2,15.77,223.965
501,32.0,2,16.0,220.0915
502,32.0,2,21.0,299.87
503,32.0,2,21.25,303.76
504,32.0,2,24.0,337.628
505,32.0,3,15.96,238.75
506,32.0,3,16.0,231.113
507,32.0,3,20.0,293.67
508,32.0,3,24.0,355.0785
509,32.0,3,25.5,378.284
510,32.0,4,14.0,199.095
511,32.0,4,16.0,217.32
512,33.0,2,16.67,239.6
513,33.0,2,17.0,243.78
514,33.0,2,17.5,245.092
515,33.0,2,18.64,273.035
516,33.0,2,19.0,273.255
517,33.0,2,19.5,279.25
518,33.0,2,20.63,307.085
519,33.0,2,21.0,307.984
520,33.0,2,21.5,316.336
521,33.0,2,22.0,314.569
522,33.0,2,23.07,346.34
523,33.0,2,24.0,347.118
524,33.0,3,17.5,260.375
525,33.0,3,18.0,256.218
526,33.0,3,19.15,287.31
527,33.0,3,20.0,290.105
528,33.0,3,21.4,319.2
529,33.0,3,22.5,326.768
530,33.0,3,25.0,369.3
531,33.0,3,28.5,438.491
532,33.0,3,29.0,458.664
533,33.0,4,17.0,241.446
534,33.0,4,17.5,245.266
535,34.0,1,5.15,59.72
536,34.0,1,6.04,71.42
537,34.0,1,6.5,78.3955
538,34.0,1,7.0,83.699
539,34.0,1,7.29,86.5875
540,34.0,1,8.0,96.502
541,34.0,1,8.03,96.493
542,34.0,1,9.0,111.721
543,34.0,1,10.03,124.416
544,34.0,1,11.02,138.117
545,34.0,1,12.02,150.912
546,34.0,1,13.28,167.5675
547,34.0,1,16.0,209.3125
548,34.0,2,16.31,249.84
549,34.0,2,16.5,232.793
550,34.0,2,19.0,270.799
551,34.0,2,21.0,296.5545
552,34.0,2,24.5,352.056
553,34.0,3,17.0,240.65
554,34.0,3,18.5,272.557
555,34.0,3,20.0,293.568
556,34.0,3,22.5,334.492
557,34.0,3,24.0,352.6725
558,34.0,3,26.5,388.1875
559,34.0,4,12.5,178.85
560,34.0,4,16.5,229.703
561,35.0,1,5.0,59.2315
562,35.0,1,6.0,72.1745
563,35.0,1,7.0,84.7755
564,35.0,1,8.0,100.6395
565,35.0,1,8.01,98.864
566,35.0,1,9.04,113.1705
567,35.0,1,10.15,128.437
568,35.0,1,12.42,160.31
569,35.0,1,14.44,187.828
570,35.0,1,16.09,208.869
571,35.0,2,16.0,233.28
572,35.0,2,20.0,297.23
573,35.0,2,22.0,331.69
574,35.0,2,24.0,352.0
575,35.0,3,16.5,245.562
576,35.0,3,20.0,306.004
577,35.0,3,24.0,358.292
578,35.0,3,30.0,483.33
579,35.0,3,33.0,517.385
580,35.0,4,14.0,207.442
581,35.0,4,16.0,227.95
582,36.0,1,5.0,57.898
583,36.0,1,6.0,70.3425
584,36.0,1,7.0,83.243
585,36.0,1,8.0,95.67
586,36.0,1,9.0,107.7425
587,36.0,1,10.0,122.184
588,36.0,1,12.0,148.545
589,36.0,1,14.0,172.805
590,36.0,1,16.0,202.44
591,36.0,1,18.0,228.066
592,37.0,2,16.76,235.78
593,37.0,2,17.0,234.235
594,37.0,2,18.5,261.88
595,37.0,2,19.0,260.468
596,37.0,2,21.55,306.5
597,37.0,2,22.0,308.748
598,37.0,2,27.0,384.96
599,37.0,3,16.34,237.84
600,37.0,3,16.5,234.447
601,37.0,3,20.98,309.28
602,37.0,3,21.5,308.4
603,37.0,3,25.77,389.3
604,37.0,3,26.5,384.944
605,37.0,4,17.0,232.184
606,38.0,1,5.06,59.15
607,38.0,1,6.07,72.305
608,38.0,1,8.25,102.018
609,38.0,1,8.34,104.3305
610,38.0,1,9.0,114.465
611,38.0,1,9.97,125.943
612,38.0,1,10.23,129.826
613,38.0,1,14.07,181.688
614,38.0,1,16.04,207.714
615,39.0,2,16.21,223.3
616,39.0,2,16.5,227.156
617,39.0,2,20.16,289.35
618,39.0,2,20.5,291.392
619,39.0,2,23.94,354.94
620,39.0,2,24.5,351.7645
621,39.0,2,27.0,397.1
622,39.0,3,16.0,228.925
623,39.0,3,20.09,293.22
624,39.0,3,20.5,292.952
625,39.0,3,23.82,351.98
626,39.0,3,24.0,354.254
627,39.0,3,26.5,414.24
628,39.0,3,31.0,471.734
629,39.0,4,16.5,226.044
630,40.0,2,15.89,220.63
631,40.0,2,16.0,219.68
632,40.0,2,18.0,251.26
633,40.0,2,21.0,295.792
634,40.0,2,25.5,360.515
635,40.0,3,17.0,250.5855
636,40.0,3,19.75,297.35
637,40.0,3,20.0,295.5
638,40.0,3,26.0,390.4
639,40.0,3,29.0,444.075
640,40.0,4,18.0,249.69
641,41.0,1,5.0,61.96
642,41.0,1,6.0,75.03
643,41.0,1,8.02,102.914
644,41.0,1,10.03,130.0365
645,41.0,1,12.04,155.7625
646,41.0,1,17.1,223.1955
647,41.0,1,17.98,236.036
648,41.0,1,21.55,288.8425
649,42.0,1,5.0,57.208
650,42.0,1,6.0,69.7415
651,42.0,1,7.0,82.447
652,42.0,1,8.0,95.102
653,42.0,1,9.0,111.7905
654,42.0,1,10.0,123.949
655,42.0,1,11.0,138.667
656,42.0,1,14.09,181.5475
657,42.0,1,16.02,206.893
658,43.0,1,5.0,58.5215
659,43.0,1,6.0,70.94
660,43.0,1,8.0,98.1
661,43.0,1,9.0,111.396
662,43.0,1,9.77,121.584
663,43.0,1,10.0,124.613
664,43.0,1,12.05,153.3455
665,43.0,1,12.27,156.131
666,43.0,1,16.0,207.9205
667,44.0,1,5.0,59.813
668,44.0,1,6.0,72.975
669,44.0,1,6.96,86.7175
670,44.0,1,8.0,100.59
671,44.0,1,9.9,126.08
672,44.0,1,12.0,153.368
673,44.0,1,14.07,182.032
674,44.0,1,14.1,182.014
675,45.0,1,5.03,60.068
676,45.0,1,7.07,87.67
677,45.0,1,8.06,100.69
678,45.0,1,9.0,112.914
679,45.0,1,10.03,126.35
680,45.0,1,14.0,180.2435
681,45.0,1,16.35,209.986
682,45.0,2,15.98,245.0
683,45.0,2,16.0,226.265
684,45.0,2,16.5,234.212
685,45.0,2,19.5,278.1475
686,45.0,2,20.0,295.9605
687,45.0,2,20.5,284.972
688,45.0,2,22.0,315.65
689,45.0,3,16.0,229.1385
690,45.0,3,20.5,303.3535
691,45.0,3,24.5,375.8655
692,45.0,3,29.5,435.972
693,45.0,4,16.5,234.647
694,46.0,2,16.81,231.08
695,46.0,2,17.0,232.913
696,46.0,2,18.5,254.99
697,46.0,2,19.85,274.07
698,46.0,2,20.0,283.784
699,46.0,2,21.5,299.11
700,46.0,2,27.5,387.9465
701,46.0,3,16.35,238.65
702,46.0,3,16.5,237.9
703,46.0,3,19.3,280.425
704,46.0,3,20.0,286.7
705,46.0,3,21.0,305.3705
706,46.0,3,22.0,313.55
707,46.0,3,27.0,399.26
708,46.0,3,28.0,408.265
709,46.0,4,17.0,232.236
710,47.0,1,5.0,58.06
711,47.0,1,6.0,74.803
712,47.0,1,7.0,88.03
713,47.0,1,8.0,101.217
714,47.0,1,10.0,129.99
715,47.0,1,11.0,144.63
716,47.0,1,12.0,157.079
717,47.0,1,14.0,184.6575
718,47.0,1,16.0,218.92
719,47.0,2,15.7,230.46
720,47.0,2,16.0,228.175
721,47.0,2,17.0,232.2965
722,47.0,2,20.28,304.08
723,47.0,2,20.5,299.414
724,47.0,2,21.5,304.304
725,47.0,2,23.95,367.24
726,47.0,2,24.5,360.14
727,47.0,2,26.0,373.227
728,47.0,3,15.7,241.875
729,47.0,3,16.0,235.1
730,47.0,3,17.0,242.932
731,47.0,3,20.28,310.22
732,47.0,3,20.5,308.7
733,47.0,3,21.5,314.941
734,47.0,3,23.95,381.15
